2025-11-22 13:53:02,119 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:02,120 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:02,372 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:02,373 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:02,637 - INFO - Partner found by old_code_partner: SRT001 - ID: 270, Name: บริษัท สุราษฎร์สุขภัณฑ์เทรดดิ้ง จำกัด
2025-11-22 13:53:02,638 - INFO - Partner found: SRT001 - ID: 270, Name: บริษัท สุราษฎร์สุขภัณฑ์เทรดดิ้ง จำกัด
2025-11-22 13:53:02,933 - INFO - Partner found by old_code_partner: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:53:02,933 - INFO - Partner found: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:53:03,266 - INFO - Partner not found in old_code_partner, searching in partner_code field: CTH000
2025-11-22 13:53:03,384 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: CTH000
2025-11-22 13:53:03,623 - INFO - Partner found by old_code_partner: BTV017 - ID: 780, Name: บริษัท บุญถาวร อินเตอร์เนชั่นแนล จำกัด
2025-11-22 13:53:03,624 - INFO - Partner found: BTV017 - ID: 780, Name: บริษัท บุญถาวร อินเตอร์เนชั่นแนล จำกัด
2025-11-22 13:53:03,870 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:53:03,871 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:53:04,470 - INFO - Partner found by old_code_partner: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-11-22 13:53:04,471 - INFO - Partner found: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-11-22 13:53:04,722 - INFO - Partner found by old_code_partner: SMC008 - ID: 512, Name: บริษัท ศิริมหาชัย อุบลราชธานี จำกัด
2025-11-22 13:53:04,723 - INFO - Partner found: SMC008 - ID: 512, Name: บริษัท ศิริมหาชัย อุบลราชธานี จำกัด
2025-11-22 13:53:05,043 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:05,044 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:05,364 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:05,365 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:05,690 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:05,690 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:05,926 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:05,926 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:53:06,145 - INFO - Partner found by old_code_partner: YOH002 - ID: 1214, Name: บริษัท ยงเฮ้าส์ จำกัด
2025-11-22 13:53:06,146 - INFO - Partner found: YOH002 - ID: 1214, Name: บริษัท ยงเฮ้าส์ จำกัด
2025-11-22 13:53:06,411 - INFO - Partner found by old_code_partner: SMC008 - ID: 512, Name: บริษัท ศิริมหาชัย อุบลราชธานี จำกัด
2025-11-22 13:53:06,411 - INFO - Partner found: SMC008 - ID: 512, Name: บริษัท ศิริมหาชัย อุบลราชธานี จำกัด
2025-11-22 13:53:06,631 - INFO - Partner found by old_code_partner: SRT001 - ID: 270, Name: บริษัท สุราษฎร์สุขภัณฑ์เทรดดิ้ง จำกัด
2025-11-22 13:53:06,631 - INFO - Partner found: SRT001 - ID: 270, Name: บริษัท สุราษฎร์สุขภัณฑ์เทรดดิ้ง จำกัด
2025-11-22 13:53:06,858 - INFO - Partner found by old_code_partner: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:53:06,859 - INFO - Partner found: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:53:07,067 - INFO - Partner not found in old_code_partner, searching in partner_code field: CTH000
2025-11-22 13:53:07,192 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: CTH000
2025-11-22 13:53:07,512 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:07,513 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:53:07,869 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:53:07,869 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
